"","SINCERE_MAX2","STRATEGIC_MAX2","cWA02","n","sincere_strategic","percent","df","age"
"49",0,1,55,1,3,0.0714285714285714,"naes04_national",55
"50",0,1,56,1,3,0.0416666666666667,"naes04_national",56
"51",0,1,57,1,3,0.1,"naes04_national",57
"52",0,1,58,2,3,0.181818181818182,"naes04_national",58
"53",0,1,59,3,3,0.272727272727273,"naes04_national",59
"54",0,1,60,3,3,0.176470588235294,"naes04_national",60
"55",0,1,61,3,3,0.5,"naes04_national",61
"56",0,1,62,2,3,0.222222222222222,"naes04_national",62
"57",0,1,63,1,3,0.25,"naes04_national",63
"58",0,1,64,3,3,0.214285714285714,"naes04_national",64
"59",0,1,65,2,3,0.133333333333333,"naes04_national",65
"60",0,1,66,1,3,0.1,"naes04_national",66
"61",0,1,67,3,3,0.375,"naes04_national",67
"62",0,1,70,1,3,0.111111111111111,"naes04_national",70
"63",0,1,71,2,3,0.285714285714286,"naes04_national",71
"64",0,1,72,1,3,0.142857142857143,"naes04_national",72
"65",0,1,73,2,3,0.153846153846154,"naes04_national",73
"66",0,1,74,2,3,0.2,"naes04_national",74
"67",0,1,75,1,3,0.1,"naes04_national",75
"68",0,1,77,1,3,0.125,"naes04_national",77
"69",0,1,80,1,3,0.166666666666667,"naes04_national",80
"70",0,1,84,2,3,0.5,"naes04_national",84
"71",0,1,90,1,3,1,"naes04_national",90
"72",0,1,NA,1,3,0.142857142857143,"naes04_national",NA
"73",1,0,19,1,2,0.333333333333333,"naes04_national",19
"74",1,0,20,1,2,0.2,"naes04_national",20
"75",1,0,21,1,2,0.166666666666667,"naes04_national",21
"76",1,0,22,1,2,0.1,"naes04_national",22
"77",1,0,23,1,2,0.111111111111111,"naes04_national",23
"78",1,0,24,1,2,0.166666666666667,"naes04_national",24
"79",1,0,26,2,2,0.333333333333333,"naes04_national",26
"80",1,0,27,3,2,0.25,"naes04_national",27
"81",1,0,28,1,2,0.166666666666667,"naes04_national",28
"82",1,0,29,2,2,0.5,"naes04_national",29
"83",1,0,30,1,2,0.0769230769230769,"naes04_national",30
"84",1,0,31,2,2,0.2,"naes04_national",31
"85",1,0,32,1,2,0.0666666666666667,"naes04_national",32
"86",1,0,33,3,2,0.25,"naes04_national",33
"87",1,0,34,2,2,0.222222222222222,"naes04_national",34
"88",1,0,35,4,2,0.222222222222222,"naes04_national",35
"89",1,0,36,2,2,0.133333333333333,"naes04_national",36
"90",1,0,37,4,2,0.181818181818182,"naes04_national",37
"91",1,0,38,2,2,0.2,"naes04_national",38
"92",1,0,39,4,2,0.285714285714286,"naes04_national",39
"93",1,0,40,5,2,0.3125,"naes04_national",40
"94",1,0,41,1,2,0.0588235294117647,"naes04_national",41
"95",1,0,42,5,2,0.3125,"naes04_national",42
"96",1,0,43,1,2,0.0666666666666667,"naes04_national",43
"97",1,0,44,3,2,0.1875,"naes04_national",44
"98",1,0,45,7,2,0.259259259259259,"naes04_national",45
"99",1,0,46,4,2,0.210526315789474,"naes04_national",46
"100",1,0,47,3,2,0.2,"naes04_national",47
"101",1,0,48,5,2,0.2,"naes04_national",48
"102",1,0,49,1,2,0.0588235294117647,"naes04_national",49
"103",1,0,50,7,2,0.291666666666667,"naes04_national",50
"104",1,0,51,2,2,0.2,"naes04_national",51
"105",1,0,52,6,2,0.260869565217391,"naes04_national",52
"106",1,0,53,6,2,0.3,"naes04_national",53
"107",1,0,54,2,2,0.25,"naes04_national",54
"108",1,0,55,1,2,0.0714285714285714,"naes04_national",55
"109",1,0,56,4,2,0.166666666666667,"naes04_national",56
"110",1,0,57,2,2,0.2,"naes04_national",57
"111",1,0,58,1,2,0.0909090909090909,"naes04_national",58
"112",1,0,59,1,2,0.0909090909090909,"naes04_national",59
"113",1,0,60,3,2,0.176470588235294,"naes04_national",60
"114",1,0,62,2,2,0.222222222222222,"naes04_national",62
"115",1,0,64,4,2,0.285714285714286,"naes04_national",64
"116",1,0,65,5,2,0.333333333333333,"naes04_national",65
"117",1,0,66,3,2,0.3,"naes04_national",66
"118",1,0,67,1,2,0.125,"naes04_national",67
"119",1,0,68,2,2,0.222222222222222,"naes04_national",68
"120",1,0,70,2,2,0.222222222222222,"naes04_national",70
"121",1,0,71,1,2,0.142857142857143,"naes04_national",71
"122",1,0,72,1,2,0.142857142857143,"naes04_national",72
"123",1,0,74,1,2,0.1,"naes04_national",74
"124",1,0,75,3,2,0.3,"naes04_national",75
"125",1,0,76,2,2,0.333333333333333,"naes04_national",76
"126",1,0,77,1,2,0.125,"naes04_national",77
"127",1,0,81,2,2,0.4,"naes04_national",81
"128",1,0,82,1,2,0.333333333333333,"naes04_national",82
"129",1,0,84,1,2,0.25,"naes04_national",84
"130",1,0,87,1,2,0.333333333333333,"naes04_national",87
"131",1,1,18,7,4,1,"naes04_national",18
"132",1,1,19,2,4,0.666666666666667,"naes04_national",19
"133",1,1,20,2,4,0.4,"naes04_national",20
"134",1,1,21,5,4,0.833333333333333,"naes04_national",21
"135",1,1,22,5,4,0.5,"naes04_national",22
"136",1,1,23,5,4,0.555555555555556,"naes04_national",23
"137",1,1,24,3,4,0.5,"naes04_national",24
"138",1,1,25,3,4,0.6,"naes04_national",25
"139",1,1,26,4,4,0.666666666666667,"naes04_national",26
"140",1,1,27,7,4,0.583333333333333,"naes04_national",27
"141",1,1,28,3,4,0.5,"naes04_national",28
"142",1,1,29,2,4,0.5,"naes04_national",29
"143",1,1,30,9,4,0.692307692307692,"naes04_national",30
"144",1,1,31,6,4,0.6,"naes04_national",31
"145",1,1,32,11,4,0.733333333333333,"naes04_national",32
"146",1,1,33,8,4,0.666666666666667,"naes04_national",33
"147",1,1,34,5,4,0.555555555555556,"naes04_national",34
"148",1,1,35,12,4,0.666666666666667,"naes04_national",35
"149",1,1,36,11,4,0.733333333333333,"naes04_national",36
"150",1,1,37,14,4,0.636363636363636,"naes04_national",37
"151",1,1,38,2,4,0.2,"naes04_national",38
"152",1,1,39,7,4,0.5,"naes04_national",39
"153",1,1,40,9,4,0.5625,"naes04_national",40
"154",1,1,41,15,4,0.882352941176471,"naes04_national",41
"155",1,1,42,9,4,0.5625,"naes04_national",42
"156",1,1,43,11,4,0.733333333333333,"naes04_national",43
"157",1,1,44,8,4,0.5,"naes04_national",44
"158",1,1,45,15,4,0.555555555555556,"naes04_national",45
"159",1,1,46,12,4,0.631578947368421,"naes04_national",46
"160",1,1,47,9,4,0.6,"naes04_national",47
"161",1,1,48,16,4,0.64,"naes04_national",48
"162",1,1,49,12,4,0.705882352941177,"naes04_national",49
"163",1,1,50,15,4,0.625,"naes04_national",50
"164",1,1,51,8,4,0.8,"naes04_national",51
"165",1,1,52,16,4,0.695652173913043,"naes04_national",52
"166",1,1,53,10,4,0.5,"naes04_national",53
"167",1,1,54,6,4,0.75,"naes04_national",54
"168",1,1,55,12,4,0.857142857142857,"naes04_national",55
"169",1,1,56,18,4,0.75,"naes04_national",56
"170",1,1,57,7,4,0.7,"naes04_national",57
"171",1,1,58,8,4,0.727272727272727,"naes04_national",58
"172",1,1,59,5,4,0.454545454545455,"naes04_national",59
"173",1,1,60,9,4,0.529411764705882,"naes04_national",60
"174",1,1,61,3,4,0.5,"naes04_national",61
"175",1,1,62,5,4,0.555555555555556,"naes04_national",62
"176",1,1,63,3,4,0.75,"naes04_national",63
"177",1,1,64,7,4,0.5,"naes04_national",64
"178",1,1,65,7,4,0.466666666666667,"naes04_national",65
"179",1,1,66,6,4,0.6,"naes04_national",66
"180",1,1,67,3,4,0.375,"naes04_national",67
"181",1,1,68,7,4,0.777777777777778,"naes04_national",68
"182",1,1,69,7,4,0.875,"naes04_national",69
"183",1,1,70,5,4,0.555555555555556,"naes04_national",70
"184",1,1,71,4,4,0.571428571428571,"naes04_national",71
"185",1,1,72,5,4,0.714285714285714,"naes04_national",72
"186",1,1,73,10,4,0.769230769230769,"naes04_national",73
"187",1,1,74,7,4,0.7,"naes04_national",74
"188",1,1,75,6,4,0.6,"naes04_national",75
"189",1,1,76,3,4,0.5,"naes04_national",76
"190",1,1,77,6,4,0.75,"naes04_national",77
"191",1,1,78,5,4,1,"naes04_national",78
"192",1,1,79,2,4,1,"naes04_national",79
"193",1,1,80,4,4,0.666666666666667,"naes04_national",80
"194",1,1,81,3,4,0.6,"naes04_national",81
"195",1,1,82,2,4,0.666666666666667,"naes04_national",82
"196",1,1,83,2,4,1,"naes04_national",83
"197",1,1,84,1,4,0.25,"naes04_national",84
"198",1,1,85,1,4,1,"naes04_national",85
"199",1,1,87,2,4,0.666666666666667,"naes04_national",87
"200",1,1,88,1,4,1,"naes04_national",88
"201",1,1,NA,6,4,0.857142857142857,"naes04_national",NA
